index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
65,089,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0,1.0,0.0
6,090,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0,1.0,0.0
138,091,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0955165692007798,1.0,0.2956525168916085
19,092,21.80506822612086,17.0,14.461604156468105,3.597953216374269,3.0,1.53638011995504,1.006335282651072,1.0,0.07936130134341031
67,093,21.80506822612086,17.0,14.461604156468105,3.7080896686159845,3.0,1.6381819297201146,1.6276803118908383,1.5,0.7248287876939077
1,094,21.80506822612086,17.0,14.461604156468105,3.580896686159844,3.0,1.5600402472176138,1.3289473684210527,1.0,0.5394981715372605
60,095,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.00682261208577,1.0,0.08233691660240876
13,096,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.00682261208577,1.0,0.08233691660240876
115,097,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0019493177387915,1.0,0.04411877683650034
164,098,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.3352826510721247,1.0,0.5583135852848222
49,099,21.80506822612086,17.0,14.461604156468105,3.597953216374269,3.0,1.53638011995504,1.0155945419103314,1.0,0.12393077497653457
2,100,21.80506822612086,17.0,14.461604156468105,3.7080896686159845,3.0,1.6381819297201146,2.4644249512670564,2.0,1.0894653167821502
20,101,21.80506822612086,17.0,14.461604156468105,3.580896686159844,3.0,1.5600402472176138,1.9741715399610136,2.0,0.8372225132096177
74,102,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0989278752436646,1.0,0.3002661271462811
69,103,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0594541910331383,1.0,0.23858287602897038
79,104,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0214424951267056,1.0,0.14488942338718508
83,105,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,2.2344054580896686,2.0,0.9771277461049438
163,106,21.80506822612086,17.0,14.461604156468105,3.597953216374269,3.0,1.53638011995504,1.3503898635477583,1.0,0.6226152702891657
17,107,21.80506822612086,17.0,14.461604156468105,3.7080896686159845,3.0,1.6381819297201146,3.5799220272904484,3.0,1.578112850667349
113,108,21.80506822612086,17.0,14.461604156468105,3.580896686159844,3.0,1.5600402472176138,2.7607212475633527,3.0,1.1728927040646042
55,109,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,2.1832358674463936,2.0,1.0702080874683986
76,110,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.8362573099415205,2.0,0.891200401208813
118,111,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.6778752436647173,1.0,0.853499846135704
16,112,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,3.5721247563352825,3.0,1.5710579491234054
45,113,21.83187134502924,17.0,14.450996493859726,5.361111111111111,5.0,2.54471629408661,1.1018518518518519,1.0,0.3243062301936998
42,114,21.83187134502924,17.0,14.450996493859726,5.384015594541911,5.0,2.5729148148200163,1.5891812865497077,1.0,0.7372117356166169
145,115,21.742690058479532,17.0,14.467774515789413,4.786549707602339,5.0,2.1779118967711772,1.5521442495126705,1.0,0.7829922245131473
68,116,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,1.1442495126705654,1.0,0.3755718177297119
166,117,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,1.1169590643274854,1.0,0.3348226457047742
40,118,21.83187134502924,17.0,14.450996493859726,5.592592592592593,5.0,2.6520469824601003,1.1408382066276803,1.0,0.373616582473883
27,119,21.83187134502924,17.0,14.450996493859726,5.5170565302144245,5.0,2.650667378815526,1.5229044834307992,1.0,0.7850142897079713
63,120,21.83187134502924,17.0,14.450996493859726,5.361111111111111,5.0,2.54471629408661,1.3874269005847952,1.0,0.6901817587312541
70,121,21.83187134502924,17.0,14.450996493859726,5.384015594541911,5.0,2.5729148148200163,2.2441520467836256,2.0,1.0062408439638806
39,122,21.742690058479532,17.0,14.467774515789413,4.786549707602339,5.0,2.1779118967711772,1.7923976608187135,2.0,0.8962681727575638
85,123,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,1.4887914230019492,1.0,0.8181099272776319
107,124,21.83187134502924,17.0,14.450996493859726,5.598440545808967,5.0,2.6593638331283374,1.4483430799220274,1.0,0.764116098017191
124,125,21.83187134502924,17.0,14.450996493859726,5.592592592592593,5.0,2.6520469824601003,1.463450292397661,1.0,0.7986637950954137
5,126,21.83187134502924,17.0,14.450996493859726,5.5170565302144245,5.0,2.650667378815526,2.0555555555555554,2.0,1.0843657958743205
147,127,21.83187134502924,17.0,14.450996493859726,5.361111111111111,5.0,2.54471629408661,1.989766081871345,1.0,1.3385455127023043
37,128,21.83187134502924,17.0,14.450996493859726,5.384015594541911,5.0,2.5729148148200163,3.665692007797271,3.0,1.6097376641297358
135,129,21.742690058479532,17.0,14.467774515789413,4.786549707602339,5.0,2.1779118967711772,2.645711500974659,2.0,1.2740963205489455
